Exchanges:  {'EX_cpd00067_e0_o': 21.753473, 'EX_cpd00007_e0_o': 111.932184, 'EX_cpd00048_e0_i': 0.351318, 'EX_cpd00001_e0_i': 95.59228, 'EX_cpd00013_e0_i': 15.547783, 'EX_cpd11632_e0_i': 909.497991, 'EX_cpd00011_e0_i': 109.265404, 'EX_cpd00009_e0_i': 5.520706, 'EX_cpd00099_e0_i': 0.0}
[Init] V0_init=-2: unscored reactions left at 0 (no mean/2 imputation)

[Init] Injecting 9 exchange flux ceilings into V0...
-> Successfully replaced 9 matrix columns.

[Init] media chain: set 39 columns from media_chain_init.tsv
-> [Init] Successfully forced 'bio1' initialization to 0.0
[EarlyStop] patience_limit=500  min_delta=0.001
QP-Loss 326000 0.07688709 0.043471567
QP-Loss 327000 0.076449044 0.04317071
QP-Loss 328000 0.076014005 0.042871747
QP-Loss 329000 0.0755817 0.042574286
QP-Loss 330000 0.075152434 0.042278875
QP-Loss 331000 0.07472654 0.041986115
QP-Loss 332000 0.0743036 0.041694757
QP-Loss 333000 0.07388397 0.041405432
QP-Loss 334000 0.07346716 0.04111796
QP-Loss 335000 0.073053636 0.040833186
QP-Loss 336000 0.07264352 0.040551003
QP-Loss 337000 0.07223638 0.040270116
QP-Loss 338000 0.07183189 0.03999043
QP-Loss 339000 0.07142997 0.039711963
Step 339103: freezing conditions [0] (losses [0.0255778469145298])
QP-Loss 340000 0.07103268 0.039432865
QP-Loss 341000 0.07063817 0.03915507
QP-Loss 342000 0.07024756 0.0388819
QP-Loss 343000 0.06986029 0.038611356
QP-Loss 344000 0.06947535 0.038342077
QP-Loss 345000 0.06909316 0.03807399
QP-Loss 346000 0.068713404 0.037807066
QP-Loss 347000 0.06833601 0.03754133
QP-Loss 348000 0.067961365 0.037277393
QP-Loss 349000 0.06758928 0.037014842
QP-Loss 350000 0.06721974 0.03675397
QP-Loss 351000 0.06685312 0.036495235
QP-Loss 352000 0.06648879 0.03623792
QP-Loss 353000 0.06612729 0.035983484
QP-Loss 354000 0.06576822 0.03573047
QP-Loss 355000 0.06541177 0.035479747
QP-Loss 356000 0.06505802 0.035230827
QP-Loss 357000 0.064706646 0.034983292
QP-Loss 358000 0.064357474 0.034737036
QP-Loss 359000 0.06401063 0.034492046
QP-Loss 360000 0.06366596 0.034248084
QP-Loss 361000 0.063323595 0.03400515
QP-Loss 362000 0.06298346 0.033763304
QP-Loss 363000 0.062645875 0.03352337
QP-Loss 364000 0.062312122 0.033288267
QP-Loss 365000 0.061981212 0.03305566
QP-Loss 366000 0.06165314 0.03282565
QP-Loss 367000 0.061327253 0.032597285
QP-Loss 368000 0.061003506 0.032370046
QP-Loss 369000 0.060682174 0.032144554
QP-Loss 370000 0.060362935 0.031919893
QP-Loss 371000 0.0600457 0.031696245
QP-Loss 372000 0.059730634 0.031473823
QP-Loss 373000 0.059417855 0.031253666
QP-Loss 374000 0.05910699 0.031034645
QP-Loss 375000 0.058797956 0.030816516
Step 375520: freezing conditions [4] (losses [0.024711867794394493])
QP-Loss 376000 0.058491994 0.030598525
QP-Loss 377000 0.058189068 0.030380422
QP-Loss 378000 0.05788821 0.030163651
QP-Loss 379000 0.057589203 0.029948125
QP-Loss 380000 0.05729249 0.029734861
QP-Loss 381000 0.056998026 0.029523762
QP-Loss 382000 0.05670538 0.029314077
QP-Loss 383000 0.05641432 0.029105341
QP-Loss 384000 0.056125075 0.028897814
QP-Loss 385000 0.05583779 0.02869152
QP-Loss 386000 0.05555242 0.028486755
QP-Loss 387000 0.0552693 0.028284365
QP-Loss 388000 0.05498938 0.028086608
